Percent,Malicious_average,benign_average
1,881.2005266162613,8453.191973296158
2,1654.9845049059443,15463.95112237
3,2415.6760152507427,22346.419308675042
4,3168.7181299558683,29128.76686448455
5,3924.415192155291,35848.15709394178
6,4658.76912489702,42508.497391671786
7,5337.4488312205185,49109.95328058111
8,6004.152050565896,55691.212920706734
9,6669.315430639136,62244.390891249575
10,7324.804661549247,68724.14119566229
11,7977.826360024168,74815.06958403601
12,8629.071693666963,79766.03794595691
13,9279.786429900534,84514.95288444699
14,9935.80150545861,89168.17631509171
15,10584.005526990926,93772.27535965433
16,11231.24468731569,98327.011822146
17,11878.483847640453,102844.15962635084
18,12532.068489929185,107334.67422964318
19,13179.307650253948,111279.55775009275
20,13825.938561436084,114688.21010720915
21,14471.837727145596,118026.89968121798
22,15122.5394483716,121249.18026901457
23,15764.495780141438,124436.28438761077
24,16402.76574367819,127553.90590233522
25,17039.827495846504,130616.33911217694
26,17675.374516191972,133655.12046583186
27,18312.181396041084,136681.82635850785
28,18939.451627630133,139696.7505225056
29,19565.353416745067,142684.44296910721
30,20185.835514142393,145651.210424106
31,20807.7380691842,148586.7579996599
32,21406.32296745413,151468.6913468064
33,21959.858770350962,154333.69668323704
34,22493.71491392711,157197.3187812662
35,23028.411668884735,160050.73383218312
36,23552.175243828755,162902.91309461027
37,24072.947389584973,165727.31320636306
38,24587.659207310287,168514.61091829173
39,25093.610474850244,171253.6669602595
40,25599.311396411907,173948.9374458022
41,26086.731954381325,175844.76732079804
42,26567.262013773183,177286.694449302
43,27043.991358165797,178683.90870216678
44,27524.73718174824,180043.1111301102
45,27989.524172566293,181379.97364773904
46,28445.93410550203,182687.08313906635
47,28886.476962673853,183947.27795309067
48,29316.194598364462,185192.06021121598
49,29737.134640251752,186424.24399238493
50,30158.074682139042,187627.9345107723
51,30573.909926915643,188811.26911264402
52,30947.266355975742,189981.95345894835
53,31271.853798444296,191144.8965000625
54,31573.291407354784,192306.00297272965
55,31859.641454985576,193458.10417582287
56,32140.19100431909,194543.6097817925
57,32422.847354271686,195595.9025588228
58,32700.728385989147,196611.84781498616
59,32968.97096188986,197598.29975082786
60,33236.269059245955,198544.39961661582
61,33504.249602662785,199478.17488513002
62,33759.86100627721,200397.20350037637
63,33982.51954039683,201295.22832763483
64,34137.31557321108,202168.4293349212
65,34271.44930258339,203034.07006201628
66,34396.44741560946,203890.7945264775
67,34511.07367778666,204745.706480742
68,34620.37521451878,205588.04989614527
69,34724.343308468306,206395.80251519845
70,34817.62190883182,207196.55463614032
71,34903.641636902066,207973.6732720312
72,34984.66543227665,208708.84952877226
73,35064.9435558745,209386.3314054393
74,35142.61611704974,210018.27960601717
75,35215.10594495472,210491.4523935251
76,35273.50403885546,210300.10487671348
77,35330.818351135575,210029.81062846925
78,35388.13266341569,209735.79572123103
79,35446.00888071815,209419.391569788
80,35503.323192998265,209083.70517174722
81,35560.63750527838,208737.07767418653
82,35617.95181755849,208367.55292240408
83,35675.828034860955,207983.60598473364
84,35733.14234714107,207585.8565021082
85,35790.45665942118,207183.19604064504
86,35847.77097170129,206774.58890810807
87,35905.64718900376,206352.1792755337
88,35927.439341107856,205918.48190624572
89,35906.34609887119,205472.05459185984
90,35877.444210226815,205023.50418415215
91,35845.48643676734,204570.12172862884
92,35808.97224059218,204111.25138379948
93,35771.230515869654,203641.5381799558
94,35733.48879114713,203171.8249761121
95,35695.74706642461,202702.11177226843
96,35656.59140795434,202226.76505438425
97,35613.01909482818,201739.3673048323
98,35566.29152473462,201213.68175746928
99,35459.619908735425,200378.67624552874
100,35268.047063351456,198460.15715865593
